Date,AdjClose,LogReturn,State
2014-01-03,16.77984046936035,-0.0222108042406001,0
2014-01-06,16.871347427368164,0.0054385707772532,0
2014-01-07,16.750680923461914,-0.00717785498985,0
2014-01-08,16.85676383972168,0.0063130814814944,0
2014-01-09,16.64150047302246,-0.0128523870879209,0
2014-01-10,16.530466079711914,-0.0066944965600881,0
2014-01-13,16.617000579833984,0.0052211951878344,0
2014-01-14,16.94764518737793,0.0197025945637587,0
2014-01-15,17.287904739379883,0.0198782117962039,0
2014-01-16,17.19144630432129,-0.0055951567405321,0
2014-01-17,16.770227432250977,-0.0248068146377944,0
2014-01-21,17.030776977539062,0.0154169800872114,0
2014-01-22,17.106454849243164,0.0044337511642407,0
2014-01-23,17.251298904418945,0.0084315706032636,0
2014-01-24,16.937721252441406,-0.0183442780200806,0
2014-01-27,17.075132369995117,0.0080799962665483,0
2014-01-28,15.710352897644045,-0.0833032424315405,1
2014-01-29,15.532002449035645,-0.0114173457181965,0
2014-01-30,15.501920700073242,-0.0019386371641929,0
2014-01-31,15.527356147766112,0.001639448673889,0
2014-02-03,15.556200981140137,0.0018559550011758,0
2014-02-04,15.78138256072998,0.0143715902711409,0
2014-02-05,15.899252891540527,0.0074411938405964,0
2014-02-06,15.99192714691162,0.0058119214231093,0
2014-02-07,16.215652465820312,0.0138929357679709,0
2014-02-10,16.506153106689453,0.0177562495878755,0
2014-02-11,16.7236385345459,0.0130899727364521,0
2014-02-12,16.72239112854004,-7.45921724645271e-05,0
2014-02-13,16.98792839050293,0.0157543896315432,0
2014-02-14,16.974201202392578,-0.0008083821022082,0
2014-02-18,17.036609649658203,0.0036699223421567,0
2014-02-19,16.767637252807617,-0.0159138627796706,0
2014-02-20,16.573551177978516,-0.0116425524288241,0
2014-02-21,16.389455795288086,-0.011169933430394,0
2014-02-24,16.461219787597656,0.0043691099312566,0
2014-02-25,16.289920806884766,-0.0104607375292729,0
2014-02-26,16.14295196533203,-0.0090630175479242,0
2014-02-27,16.464967727661133,0.0197514121709874,0
2014-02-28,16.420345306396484,-0.0027138223440243,0
2014-03-03,16.467775344848633,0.0028843284684687,0
2014-03-04,16.57636260986328,0.0065722795390104,0
2014-03-05,16.611310958862305,0.0021061049576101,0
2014-03-06,16.561067581176758,-0.0030292320489087,0
2014-03-07,16.551401138305664,-0.0005838551771892,0
2014-03-10,16.566375732421875,0.0009043236926915,0
2014-03-11,16.727705001831055,0.0096912441204302,0
2014-03-12,16.743919372558594,0.0009688428511553,0
2014-03-13,16.55794334411621,-0.0111692227801336,0
2014-03-14,16.371986389160156,-0.0112942197673184,0
2014-03-17,16.435951232910156,0.0038993566456699,0
2014-03-18,16.581356048583984,0.0088078506495796,0
2014-03-19,16.576982498168945,-0.0002637979242678,0
2014-03-20,16.49710464477539,-0.0048302472175696,0
2014-03-21,16.627216339111328,0.0078560018526134,0
2014-03-24,16.824426651000977,0.0117909064564685,0
2014-03-25,17.005401611328125,0.0106992376861274,0
2014-03-26,16.842838287353516,-0.0096054964379632,0
2014-03-27,16.77044105529785,-0.0043076632462808,0
2014-03-28,16.751728057861328,-0.0011164551623807,0
2014-03-31,16.747982025146484,-0.000223645680585,0
2014-04-01,16.90118408203125,0.0091059085975881,0
2014-04-02,16.929264068603516,0.0016600426276158,0
2014-04-03,16.81195068359375,-0.0069537423943071,0
2014-04-04,16.594457626342773,-0.0130212220517913,0
2014-04-07,16.33391571044922,-0.0158250971330384,0
2014-04-08,16.332979202270508,-5.733683482755936e-05,0
2014-04-09,16.547651290893555,0.0130578480801286,0
2014-04-10,16.334224700927734,-0.0129815943143323,0
2014-04-11,16.21346664428711,-0.0074204102197326,0
2014-04-14,16.278057098388672,0.0039758393417597,0
2014-04-15,16.1619815826416,-0.0071563423380309,0
2014-04-16,16.194738388061523,0.0020247303583436,0
2014-04-17,16.379772186279297,0.0113607716646848,0
2014-04-21,16.57417869567871,0.0117988137689821,0
2014-04-22,16.590715408325195,0.0009972420816475,0
2014-04-23,16.373849868774414,-0.0131576841041076,0
2014-04-24,17.716211318969727,0.0787945720989831,1
2014-04-25,17.846332550048828,0.0073179136028063,1
2014-04-28,18.5374813079834,0.0379966713932296,1
2014-04-29,18.48256492614746,-0.002966847840796,0
2014-04-30,18.41266250610352,-0.0037892436799675,0
2014-05-01,18.456031799316406,0.0023526362424082,0
2014-05-02,18.49036979675293,0.0018588011735931,0
2014-05-05,18.751850128173828,0.0140423760276866,0
2014-05-06,18.54746437072754,-0.010959332945803,0
2014-05-07,18.48256492614746,-0.0035052368179173,0
2014-05-08,18.449615478515625,-0.0017843222909057,0
2014-05-09,18.372743606567383,-0.0041752883592494,0
2014-05-12,18.60148429870605,0.0123731379036882,0
2014-05-13,18.630661010742188,0.0015672864276865,0
2014-05-14,18.634111404418945,0.000185182598094,0
2014-05-15,18.47565460205078,-0.0085399495847178,0
2014-05-16,18.74832534790039,0.0146505356669823,0
2014-05-19,18.97047996520996,0.0117796512541028,0
2014-05-20,18.9742488861084,0.0001986532003219,0
2014-05-21,19.024452209472656,0.0026423720352166,0
2014-05-22,19.05457305908203,0.0015820182202199,0
2014-05-23,19.26982307434082,0.0112331726210794,0
2014-05-27,19.63065719604492,0.0185521859148747,0
2014-05-28,19.579832077026367,-0.0025924260791296,0
2014-05-29,19.93659210205078,0.018056781491341,0
2014-05-30,19.861909866333008,-0.0037530218316472,0
2014-06-02,19.72542381286621,-0.0068954678973685,0
2014-06-03,20.004364013671875,0.014042097857295,0
2014-06-04,20.2327938079834,0.0113542934327401,0
