States (K),Log-Likelihood,AIC,BIC
2,7579.985542868488,-15147.971085736976,-15112.417971858255
3,7577.409909169256,-15130.819818338512,-15059.713590581068
4,7645.060761221699,-15250.121522443398,-15131.61114284766
