Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2014-01-02,17.15670394897461,17.27767244413937,17.122274989377967,17.2357991165468,234684800
2014-01-03,16.77984046936035,17.174381989987175,16.762780047147636,17.148328361425026,392467600
2014-01-06,16.871347427368164,16.960366785069375,16.550936380207684,16.67035440988223,412610800
2014-01-07,16.750680923461914,16.93430364146784,16.684924016191996,16.88343546562028,317209200
2014-01-08,16.85676383972168,16.921899567251256,16.708810770368622,16.71253129741604,258529600
2014-01-09,16.64150047302246,16.962221145177637,16.60520960011388,16.960359225278548,279148800
2014-01-10,16.530466079711914,16.77426340891089,16.473703998636108,16.74417615978406,304976000
2014-01-13,16.617000579833984,16.826988410791607,16.435547836448453,16.43647879657939,378492800
2014-01-14,16.94764518737793,16.958190545938862,16.676861715414177,16.694231905466005,332561600
2014-01-15,17.287904739379883,17.37599475402112,17.11110517447223,17.16879818718284,391638800
2014-01-16,17.19144630432129,17.272091977012206,17.111729935351914,17.21160772249402,229278000
2014-01-17,16.770227432250977,17.123826653620345,16.746343830762626,17.105527156766286,426739600
2014-01-21,17.030776977539062,17.06179352607092,16.762474887568537,16.780154850315842,328526800
2014-01-22,17.106454849243164,17.285734225336647,16.99169000816716,17.087843931538615,379985200
2014-01-23,17.251298904418945,17.26122472353218,16.89863084073907,17.05775040124644,403239200
2014-01-24,16.937721252441406,17.233937193801214,16.896777228469734,17.183688538092323,429354800
2014-01-27,17.075132369995117,17.208508184556965,16.927800431958637,17.061795782446836,554878800
2014-01-28,15.710352897644043,15.97400002976886,15.57294357321872,15.780451514679479,1065523200
2014-01-29,15.532002449035645,15.737338719507287,15.465935776921762,15.63125899759999,502810000
2014-01-30,15.501920700073242,15.710359691398061,15.40638795693811,15.587529275704384,678501600
2014-01-31,15.527356147766113,15.55620266219796,15.308683202025954,15.359241630128306,464797200
2014-02-03,15.556200981140137,15.748510504399858,15.48703329537347,15.589700636493012,401464000
2014-02-04,15.78138256072998,15.802165162201032,15.594347430051286,15.690191566709467,376681200
2014-02-05,15.899252891540527,15.98268976720853,15.70260167237693,15.712217727157704,328344800
2014-02-06,15.991927146911621,16.022819390821603,15.845271476529607,15.9154797583384,257765200
2014-02-07,16.215652465820312,16.31706294100885,16.14388607810411,16.26869820152324,370280400
2014-02-10,16.506153106689453,16.59976302631733,16.163230578637634,16.18382429435596,345559200
2014-02-11,16.7236385345459,16.77949052549612,16.522064106531797,16.556700806373673,282256800
2014-02-12,16.72239112854004,16.83597152443737,16.638768107815782,16.754531524321486,308100800
2014-02-13,16.98792839050293,17.001033177526136,16.66871917526182,16.683072116593312,307398000
2014-02-14,16.974201202392578,17.036297311112687,16.88745862269669,16.92677299343777,272924400
2014-02-18,17.036609649658203,17.198864757191917,17.02475134709974,17.03692127171813,260251600
2014-02-19,16.767637252807617,17.064691382122465,16.673404080077663,16.997915944185458,313768000
2014-02-20,16.573551177978516,16.756090014669457,16.506464126905346,16.63096461557164,305858000
2014-02-21,16.389455795288086,16.680269170307884,16.36917369832473,16.624727120206117,278784800
2014-02-24,16.461219787597656,16.53517252506289,16.301149388977603,16.32392779197937,288909600
2014-02-25,16.289920806884766,16.524255634157953,16.25684553610929,16.518328148358457,231952000
2014-02-26,16.14295196533203,16.381656145347907,16.088346444847538,16.33828401761201,276217200
2014-02-27,16.464967727661133,16.499602768998216,16.10238630473376,16.136398101966723,301882000
2014-02-28,16.420345306396484,16.623477864273323,16.291787062059324,16.508960941155475,371968800
2014-03-03,16.467775344848633,16.557952432568133,16.313319127798376,16.332353069032294,238781200
2014-03-04,16.57636260986328,16.620048024323186,16.468088105986954,16.568875348098324,259140000
2014-03-05,16.611310958862305,16.685885285947816,16.510523716645174,16.566379056084564,200062800
2014-03-06,16.561067581176758,16.6762077305231,16.478379443124748,16.62472178305726,185488800
2014-03-07,16.551401138305664,16.599454260869706,16.41441907671991,16.571683235501077,220729600
2014-03-10,16.566375732421875,16.641574954984556,16.485870603626875,16.486495514065666,178584000
2014-03-11,16.727705001831055,16.810393204096417,16.618493917113945,16.707736184262618,279224400
2014-03-12,16.743919372558594,16.767009395404028,16.600073329543445,16.678393767167044,199326400
2014-03-13,16.55794334411621,16.83908293395304,16.511450026926465,16.769812890621736,257742800
2014-03-14,16.371986389160156,16.56544540201833,16.31925226052169,16.499918102087165,237199200
2014-03-17,16.435951232910156,16.53673682000258,16.408180204323926,16.465906949073737,199544800
2014-03-18,16.581356048583984,16.599141837315102,16.38789705997977,16.40973893507569,209647200
2014-03-19,16.576982498168945,16.732373545027738,16.506462612262865,16.608186356186607,224756000
2014-03-20,16.49710464477539,16.620981895767486,16.45498068025465,16.53423599130008,208398400
2014-03-21,16.627216339111328,16.65467573038924,16.423148968246508,16.59788554982364,374046400
2014-03-24,16.824426651000977,16.86530246241041,16.695556777637783,16.800400092686278,355700800
2014-03-25,17.005401611328125,17.029116544199358,16.83690410536164,16.896503892737062,282293200
2014-03-26,16.842838287353516,17.13053212117025,16.81413239488691,17.053148194055908,299768000
2014-03-27,16.77044105529785,16.896502972530662,16.69742652875973,16.850321263664956,222031600
2014-03-28,16.751728057861328,16.816630450801803,16.670288027938767,16.797284881704158,200564000
2014-03-31,16.747982025146484,16.87497885438769,16.722705641701868,16.825677575101768,168669200
2014-04-01,16.90118408203125,16.90804976458361,16.74891257501562,16.779803147217827,200760000
2014-04-02,16.929264068603516,16.958283237831193,16.857809322002304,16.923959829735267,180420800
2014-04-03,16.81195068359375,16.92771413946735,16.77606747844424,16.89307908927335,162344000
2014-04-04,16.594457626342773,16.849699392946068,16.555766502686925,16.843771908802566,275251200
2014-04-07,16.33391571044922,16.56575588770944,16.284616094250243,16.475890406274807,289850400
2014-04-08,16.332979202270508,16.4166039011416,16.185075369256605,16.38758472083509,243888400
2014-04-09,16.547651290893555,16.552955530016952,16.288665108322537,16.30801066659571,206169600
2014-04-10,16.334224700927734,16.607563871373404,16.324551086922497,16.55888584575635,239652000
2014-04-11,16.21346664428711,16.31394056958976,16.136394363172425,16.19443104067256,271717600
2014-04-14,16.278057098388672,16.293033283865704,16.13857876877457,16.28492111396449,205674000
2014-04-15,16.1619815826416,16.27680845603548,15.95510457090664,16.23406125033061,266490000
2014-04-16,16.194738388061523,16.259640723875396,16.042778568292825,16.16478269471954,214765600
2014-04-17,16.379772186279297,16.467766204406807,16.200666264865642,16.225629343260273,284334400
2014-04-21,16.57417869567871,16.60444436245952,16.3492025727989,16.392263074374505,182548800
2014-04-22,16.590715408325195,16.594771494045997,16.428458648069267,16.484935558982848,202563200
2014-04-23,16.373849868774414,16.572926315686175,16.364487878210387,16.508335579790543,394940000
2014-04-24,17.716211318969727,17.78579468121169,17.496541130395673,17.72994101821083,759911600
2014-04-25,17.846332550048828,17.84789066038982,17.59733151970507,17.615115641158592,390275200
2014-04-28,18.5374813079834,18.58927889301501,17.86536419008518,17.87316640650953,669485600
2014-04-29,18.48256492614746,18.596456970451133,18.394572510969077,18.52656196695082,337377600
2014-04-30,18.412662506103516,18.704100706720308,18.40361380390926,18.49223109401721,456640800
2014-05-01,18.456031799316406,18.55962524962611,18.296271418375508,18.472256135071497,244048000
2014-05-02,18.49036979675293,18.540920911992732,18.400817583735893,18.482882532511212,191514400
2014-05-05,18.751850128173828,18.75309994955886,18.409864002230393,18.414233377792463,287067200
2014-05-06,18.54746437072754,18.859494666135024,18.54746437072754,18.778054667380136,374564400
2014-05-07,18.48256492614746,18.637332790989937,18.339030454686373,18.5736785615904,282864400
2014-05-08,18.449615478515625,18.65105900045503,18.39972547972033,18.45777295917314,230297200
2014-05-09,18.372743606567383,18.395020837996327,18.20926552703661,18.34136545412967,291597600
2014-05-12,18.601484298706055,18.62752690759732,18.43110386893838,18.43392915936954,213208800
2014-05-13,18.630661010742188,18.655135127219918,18.5346480714948,18.575437148467376,159737200
2014-05-14,18.634111404418945,18.744874157598503,18.567278052652473,18.58892855298652,166404000
2014-05-15,18.47565460205078,18.719770683755826,18.451180488956044,18.66015472706576,230846000
2014-05-16,18.74832534790039,18.748952072882503,18.368344002129653,18.469692469824807,276256400
2014-05-19,18.97047996520996,19.056453572877754,18.742678811326957,18.758995447480576,317755200
2014-05-20,18.9742488861084,19.027275868840793,18.849366353522473,18.967973255646612,234836000
2014-05-21,19.024452209472656,19.03668843204263,18.89109883287773,18.94663606766466,196859600
2014-05-22,19.05457305908203,19.13552785185376,18.95510808951551,19.03355095443866,200760000
2014-05-23,19.26982307434082,19.288649965271183,19.029472298538256,19.05394641887986,232209600
2014-05-27,19.630657196044922,19.637872911497222,19.31688249665298,19.324726612777507,348866000
2014-05-28,19.579832077026367,19.76244872568526,19.572614683394924,19.642900065582907,315481600
2014-05-29,19.93659210205078,19.98334512613147,19.697809829170716,19.700320081144653,376474000
2014-05-30,19.861909866333008,20.212394916708487,19.733261997058477,20.018168824977696,564020800
2014-06-02,19.72542381286621,19.91933660042837,19.532452788786053,19.89203886533627,369350800
2014-06-03,20.004364013671875,20.042017787227653,19.712868171936165,19.719457163374585,292709200
2014-06-04,20.2327938079834,20.329123464377663,19.95949642621429,20.001228943616095,335482000
2014-06-05,20.31217384338379,20.3755568494078,20.163445646560213,20.2760902385637,303805600
2014-06-06,20.256328582763672,20.43486816939427,20.221815129859298,20.392193883529888,349938400
2014-06-09,20.580453872680664,20.619989498063713,20.15215266081046,20.360811881827143,301660000
2014-06-10,20.70126724243164,20.87698158693243,20.551910552326824,20.80669618427935,251108000
2014-06-11,20.6155948638916,20.813272966531176,20.529934632036984,20.674897456815874,182724000
